model,f1_macro,recall_macro,fit_median_s,predict_ms,size_kb,is_pareto
logistic,0.7209538305428715,0.7095238095238094,0.047641099999964354,13.819900000271446,6.587890625,True
svm_c1,0.72,0.7023809523809523,0.2190123999998832,22.779900000386988,267.380859375,False
svm_c10,0.6961196820944366,0.7,0.3067503000002034,22.439999999733118,276.302734375,False
rf_100,0.6694943263192685,0.6535714285714286,0.2788989999999103,57.95470000066416,1248.5263671875,False
rf_300,0.6649184149184149,0.6499999999999999,0.733739099999184,85.09409999987838,3730.0888671875,False
boost,0.6881496881496881,0.6761904761904762,0.24145679999946879,12.995000000046275,208.470703125,False
